,CustomerKey,Gender,Name,City,State,Zip Code,Country,Continent,b_day,b_month,b_year
0,301,Female,Lilly Harding,WANDEARAH EAST,South Australia,5523,Australia,Australia,3,7,1939
1,325,Female,Madison Hull,MOUNT BUDD,Western Australia,6522,Australia,Australia,27,9,1979
2,554,Female,Claire Ferres,WINJALLOK,Victoria,3380,Australia,Australia,26,5,1947
3,786,Male,Jai Poltpalingada,MIDDLE RIVER,South Australia,5223,Australia,Australia,17,9,1957
4,1042,Male,Aidan Pankhurst,TAWONGA SOUTH,Victoria,3698,Australia,Australia,19,11,1965
5,1086,Male,Hayden Clegg,TEMPLERS,South Australia,5371,Australia,Australia,20,1,1954
6,1133,Male,Nicholas Caffyn,JUBILEE POCKET,Queensland,4802,Australia,Australia,22,11,1969
7,1256,Male,Lincoln Jenks,KULLOGUM,Queensland,4660,Australia,Australia,12,3,1950
8,1314,Male,Isaac Israel,EDITH RIVER,Northern Territory,852,Australia,Australia,21,12,1965
9,1568,Male,Luke Virtue,KOTTA,Victoria,3565,Australia,Australia,25,7,1975
10,1585,Female,Anna Hallstrom,GREEN LAKE,Victoria,3401,Australia,Australia,12,8,1990
11,1626,Female,Mary Leach,NEDS CORNER,Victoria,3496,Australia,Australia,17,10,1985
12,1642,Female,Ruby Ambrose,TARLO,New South Wales,2580,Australia,Australia,3,3,1965
13,1677,Male,Dean Innes,ELLESMERE,Queensland,4610,Australia,Australia,22,11,1964
14,1817,Female,Laura Le Rennetel,BEAUCHAMP,Victoria,3579,Australia,Australia,10,7,1986
15,1863,Female,Chelsea Watkins,NAMBOUR DC,Queensland,4560,Australia,Australia,22,9,1984
16,1945,Male,Angus Beaurepaire,GREENFIELDS,Western Australia,6210,Australia,Australia,20,9,1974
17,2238,Female,Isabelle Cochran,BRUCKNELL,Victoria,3268,Australia,Australia,31,10,1969
18,2248,Male,Rory Spargo,JUNG,Victoria,3401,Australia,Australia,15,12,1987
19,2435,Female,Lilian Hall,BLAKEBROOK,New South Wales,2480,Australia,Australia,1,4,1968
20,2469,Female,Phoebe Kneeshaw,BIDWILL,Queensland,4650,Australia,Australia,20,5,1948
21,2512,Female,Matilda Hake,BUNKERS HILL,Victoria,3352,Australia,Australia,13,11,1992
22,2604,Female,Claudia Davison,KUBIN VILLAGE,Queensland,4875,Australia,Australia,8,4,1995
23,2751,Male,Nate Lowes,CALLIDE,Queensland,4715,Australia,Australia,20,8,1979
24,2792,Male,Zachary Perkin,BAMGANIE,Victoria,3333,Australia,Australia,25,8,1976
25,2836,Male,Nicholas Shand,GORDONBROOK,Queensland,4610,Australia,Australia,23,2,1959
26,3002,Male,Joshua Aronson,SMITHTON,Tasmania,7330,Australia,Australia,8,11,2000
27,3006,Female,Alica Stuckey,HARTLEY,New South Wales,2790,Australia,Australia,13,1,1943
28,3203,Male,Aidan Kane,ARGENTON,New South Wales,2284,Australia,Australia,18,8,1998
29,3270,Male,Hunter Templeton,CENTRAL TILBA,New South Wales,2546,Australia,Australia,2,5,1948
30,3327,Female,Alannah Le Messurier,KONONGWOOTONG,Victoria,3315,Australia,Australia,28,4,1948
31,3410,Male,Will Armitage,BOLLON,Queensland,4488,Australia,Australia,12,5,1950
32,3575,Male,Noah McFarland,HOPPERS CROSSING,Victoria,3029,Australia,Australia,4,3,1942
33,3964,Female,Rose Code,DIXIE,Victoria,3265,Australia,Australia,16,2,1944
34,4004,Female,Piper Wrixon,WYALLA PLAZA,Queensland,4350,Australia,Australia,24,6,1995
35,4174,Female,Rebecca Yelverton,OCEAN REEF,Western Australia,6027,Australia,Australia,5,10,1990
36,4633,Female,Victoria Brown,KEYSLAND,Queensland,4612,Australia,Australia,8,1,1964
